week,date,winner_team,winner_score,winner_rank,winner_side,winner_primary_color,winner_secondary_color,loser_team,loser_score,loser_rank,loser_side,loser_primary_color,loser_secondary_color,winner_team_clean,loser_team_clean,winner_conference,loser_conference
1,"Saturday, August 31, 2019",Wyoming,37,,home,#4E3629,#3e2b20,Missouri,31,,away,#010101,#000,Wyoming,Missouri,Mountain West,Southeastern
1,"Saturday, August 31, 2019",Georgia,30,3.0,away,#DA291C,#ae2016,Vanderbilt,6,,home,#010101,#000,Georgia,Vanderbilt,Southeastern,Southeastern
1,"Saturday, August 31, 2019",LSU,55,6.0,home,#582C83,#462368,Ga. Southern,3,,away,#041E42,#031834,LSU,Georgia Southern,Southeastern,Sun Belt
1,"Saturday, August 31, 2019",Michigan,40,7.0,home,#041E42,#031834,Middle Tenn.,21,,away,#005EB8,#004b93,Michigan,Middle Tennessee,Big Ten,Conference USA
1,"Saturday, August 31, 2019",North Texas,51,,home,#007A33,#006128,Abilene Christian,31,,away,#582C83,#462368,North Texas,Abilene Christian,Conference USA,
1,"Saturday, August 31, 2019",Auburn,27,16.0,away,#0C2340,#091c33,Oregon,21,11.0,home,#173F35,#12322a,Auburn,Oregon,Southeastern,Pac-12
1,"Saturday, August 31, 2019",Iowa,38,20.0,home,#010101,#000,Miami (OH),14,,away,#C8102E,#a00c24,Iowa,Miami (OH),Big Ten,Mid-American
1,"Saturday, August 31, 2019",TCU,39,,home,#582C83,#462368,Ark.-Pine Bluff,7,,away,#010101,#000,TCU,Ark.-Pine Bluff,Big 12,
1,"Saturday, August 31, 2019",La.-Monroe,31,,home,#6F2C3F,#582332,Grambling,9,,away,#010101,#000,Louisiana-Monroe,Grambling,Sun Belt,
1,"Saturday, August 31, 2019",Texas,45,10.0,home,#CB6015,#a24c10,Louisiana Tech,14,,away,#003087,#00266c,Texas,Louisiana Tech,Big 12,Conference USA
1,"Saturday, August 31, 2019",UTEP,36,,home,#041E42,#031834,Houston Baptist,34,,away,#003087,#00266c,UTEP,Houston Baptist,Conference USA,
